Model Name : A21S
Lot No : A21S
Test Start Time : 2020-12-24 07-51-11
Channel Serial : PM16113017,PM16113018,PM16113009,PM16114002,TPSPMP-017,PM16114028,PM16113011,PM16113012,PM16113001,PM16113002,PM16112015,PM16112013,PM16114019,PM16114020,PM16912005,PM16912006,PM16114003,PM16114004,PM16114007,PM16113019,PM16113013,PM16114032,PM16912003,PM16114023,PM16113013,PM16113020,PM16114025,PM16114026,PM19612005,PM16114006,PM16113015,PM16113016,PM16113009,PM16114007,PM19612005,PM19612006,PM16114037,PM16114038,PM20706001,PM20706002


,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count,Total Result,Serial Number,Contact,,,Wake up,,Impedance,,,,,,,,,,,,,,,,Consumption Current,,,,OVP U1,,,,UVP U1,,,,ODCP U1,,,,OCCP U1,,,,OVP U2,,,,UVP U2,,,,ODCP U2,,,,OCCP U2,,,,Sensing Resistor,,,Step Result,Temperature,Test Time,Test Channel
,,,Judgment,S1 Voltage,S2 Voltage,Judgment,Pack Voltage,Judgment,B+ to P+ Voltage,B+ to P+ Current,B+ to P+ IR,B-1 to B-2 Voltage,B-1 to B-2 Current,B-1 to B-2 IR,B-2 to P-1 Voltage,B-2 to P-1 Current,B-2 to P-1 IR,P-1 to P-2 Voltage,P-1 to P-2 Current,P-1 to P-2 IR,Total Voltage,Total Current,Total IR,Judgment,Normal,Sleep,Power Down,Judgment,Protection Delay,Protection Voltage,Release Voltage,Judgment,Protection Delay,Protection Voltage,Release Voltage,Judgment,Protection Delay,Protection Current,Release,Judgment,Protection Delay,Protection Current,Release,Judgment,Protection Delay,Protection Voltage,Release Voltage,Judgment,Protection Delay,Protection Voltage,Release Voltage,Judgment,Protection Delay,Protection Current,Release,Judgment,Protection Delay,Protection Current,Release,Judgment,Res 1,Res 2,,,,
,,,(OK/NG),0 ~ 100 (mV),0 ~ 100 (mV),(OK/NG),3850 ~ 3950 (mV),(OK/NG),(mV),(mA),0.1 ~ 20.0 (mohm),(mV),(mA),0.1 ~ 20.0 (mohm),(mV),(mA),0.0 ~ 100.0 (mohm),(mV),(mA),0.1 ~ 100.0 (mohm),(mV),(mA),47.5 ~ 64.5 (mohm),(OK/NG),0.30 ~ 9.00 (uA),0.00 ~ 0.00 (uA),0.00 ~ 2.00 (uA),(OK/NG),800.00 ~ 1200.00 (msec),4430 ~ 4460 (mV),4205 ~ 4285 (mV),(OK/NG),76.80 ~ 172.80 (msec),2430 ~ 2570 (mV),2430 ~ 2610 (mV),(OK/NG),8.40 ~ 15.60 (msec),5600 ~ 9300 (mA),(OK/NG),(OK/NG),5.60 ~ 10.40 (msec),4800 ~ 10700 (mA),(OK/NG),(OK/NG),800.00 ~ 1200.00 (msec),4470 ~ 4500 (mV),4245 ~ 4325 (mV),(OK/NG),76.80 ~ 115.20 (msec),2230 ~ 2370 (mV),2230 ~ 2410 (mV),(OK/NG),25.60 ~ 38.40 (msec),5800 ~ 9800 (mA),(OK/NG),(OK/NG),25.60 ~ 38.40 (msec),5600 ~ 11900 (mA),(OK/NG),(OK/NG),0.530 ~ 0.590 (kohm),0.485 ~ 0.535 (kohm),,,,
1,OK,,OK,3,4,OK,3900,OK,3.4200,300,11.4,3.4200,300,11.4,0.1200,300,0.4,9.0300,300,30.1,15.9900,300,53.3,OK,3.93,0,0.46,OK,1059.58,4446,4242,OK,98.40,2507,2516,OK,11.27,6757,OK,OK,7.17,6428,OK,OK,1085.30,4487,4285,OK,99.52,2303,2311,OK,32.82,7921,OK,OK,32.52,7704,OK,OK,0.549,0.510,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,01
2,OK,,OK,2,1,OK,3900,OK,3.7500,300,12.5,3.5700,300,11.9,0.0000,300,0.0,9.3000,300,31.0,16.6200,300,55.4,OK,4.17,0,0.45,OK,1086.59,4443,4240,OK,100.26,2503,2512,OK,11.55,6134,OK,OK,7.31,6056,OK,OK,1007.41,4489,4285,OK,94.26,2302,2310,OK,30.64,7013,OK,OK,30.07,7029,OK,OK,0.551,0.513,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,02
3,OK,,OK,4,3,OK,3902,OK,3.4500,300,11.5,3.4200,300,11.4,0.0900,300,0.3,8.6700,300,28.9,15.9300,300,53.1,OK,4.24,0,0.60,OK,1042.02,4452,4247,OK,95.92,2501,2511,OK,11.33,6946,OK,OK,7.03,6409,OK,OK,1028.92,4487,4284,OK,94.36,2306,2315,OK,31.20,7558,OK,OK,31.18,7738,OK,OK,0.543,0.495,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,03
4,NG,,OK,1,1,OK,3898,OK,3.3300,300,11.1,3.9900,300,13.3,0.1200,300,0.4,8.7900,300,29.3,16.0800,300,53.6,OK,4.26,0,0.47,OK,1028.66,4446,4242,OK,94.88,2505,2514,OK,11.05,6359,OK,OK,6.89,6031,OK,OK,1017.97,4488,4281,OK,93.52,2302,2310,OK,30.78,6922,OK,OK,30.34,6896,OK,NG,0.550,54807.694,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-24 07:51:35,04
5,NG,,OK,3,3,OK,3901,OK,3.4500,300,11.5,3.5700,300,11.9,0.0000,300,0.0,8.7900,300,29.3,15.8100,300,52.7,OK,4.23,0,0.37,OK,1028.06,4448,4243,OK,94.60,2500,2509,OK,11.05,6319,OK,OK,6.89,6071,OK,OK,1025.23,4489,4285,OK,95.09,2302,2311,OK,31.20,6968,OK,OK,30.63,7063,OK,NG,0.564,18325.014,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-24 07:51:35,05
6,OK,,OK,5,5,OK,3893,OK,3.4500,300,11.5,3.5400,300,11.8,0.0300,300,0.1,8.7600,300,29.2,15.7800,300,52.6,OK,4.30,0,0.45,OK,1035.09,4451,4246,OK,94.78,2507,2516,OK,10.85,6171,OK,OK,6.89,5951,OK,OK,1053.18,4486,4281,OK,96.85,2296,2304,OK,31.90,7001,OK,OK,31.46,7025,OK,OK,0.540,0.496,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,06
7,OK,,OK,3,8,OK,3899,OK,3.2700,300,10.9,2.9400,300,9.8,0.0000,300,0.0,8.7900,300,29.3,16.2000,300,54.0,OK,4.24,0,0.37,OK,996.14,4448,4241,OK,91.56,2510,2519,OK,10.63,6293,OK,OK,6.61,5903,OK,OK,1033.12,4489,4285,OK,94.95,2308,2317,OK,31.34,7036,OK,OK,30.91,7080,OK,OK,0.562,0.502,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,07
8,NG,,OK,4,3,OK,3899,OK,3.5700,300,11.9,3.5700,300,11.9,0.0300,300,0.1,8.8200,300,29.4,15.9900,300,53.3,OK,4.21,0,0.42,OK,1066.47,4447,4242,OK,98.06,2498,2507,OK,11.27,6477,OK,OK,7.17,6018,OK,OK,1063.45,4490,4286,OK,99.06,2304,2313,OK,32.11,6848,OK,OK,31.68,6943,OK,NG,0.569,13672.211,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-24 07:51:35,08
