Model Name : DAVINCI2C-2
Lot No : DAVINC2C 2
Test Start Time : 2020-12-17 19-52-35
Channel Serial : PM16113017,PM16113018,PM16113009,PM16114002,TPSPMP-017,PM16114028,PM16113011,PM16113012,PM16113001,PM16113002,PM16112015,PM16112013,PM16114019,PM16114020,PM16912005,PM16912006,PM16114003,PM16114004,PM16114007,PM16113019,PM16113013,PM16114032,PM16912003,PM16114023,PM16113013,PM16113020,PM16114025,PM16114026,PM19612005,PM16114006,PM16113015,PM16113016,PM16113009,PM16114007,PM19612005,PM19612006,PM16114037,PM16114038,PM20706001,PM20706002


,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count,Total Result,Serial Number,Contact,,,Wake up,,Impedance,,,,,,,,,,,,,,,,Consumption Current,,,,OVP U1,,,,UVP U1,,,,ODCP U1,,,,OCCP U1,,,,OVP U2,,,,UVP U2,,,,ODCP U2,,,,OCCP U2,,,,Sensing Resistor,,,Step Result,Temperature,Test Time,Test Channel
,,,Judgment,S1 Voltage,S2 Voltage,Judgment,Pack Voltage,Judgment,B+ to P+ Voltage,B+ to P+ Current,B+ to P+ IR,B-1 to B-2 Voltage,B-1 to B-2 Current,B-1 to B-2 IR,B-2 to P-1 Voltage,B-2 to P-1 Current,B-2 to P-1 IR,P-1 to P-2 Voltage,P-1 to P-2 Current,P-1 to P-2 IR,Total Voltage,Total Current,Total IR,Judgment,Normal,Sleep,Power Down,Judgment,Protection Delay,Protection Voltage,Release Voltage,Judgment,Protection Delay,Protection Voltage,Release Voltage,Judgment,Protection Delay,Protection Current,Release,Judgment,Protection Delay,Protection Current,Release,Judgment,Protection Delay,Protection Voltage,Release Voltage,Judgment,Protection Delay,Protection Voltage,Release Voltage,Judgment,Protection Delay,Protection Current,Release,Judgment,Protection Delay,Protection Current,Release,Judgment,Res 1,Res 2,,,,
,,,(OK/NG),0 ~ 100 (mV),0 ~ 100 (mV),(OK/NG),3850 ~ 3950 (mV),(OK/NG),(mV),(mA),0.0 ~ 20.0 (mohm),(mV),(mA),0.0 ~ 20.0 (mohm),(mV),(mA),0.0 ~ 100.0 (mohm),(mV),(mA),0.0 ~ 100.0 (mohm),(mV),(mA),11.0 ~ 19.8 (mohm),(OK/NG),0.00 ~ 3.80 (uA),0.00 ~ 0.00 (uA),0.00 ~ 1.00 (uA),(OK/NG),700.00 ~ 1300.00 (msec),4430 ~ 4460 (mV),4195 ~ 4295 (mV),(OK/NG),89.60 ~ 166.40 (msec),2450 ~ 2550 (mV),2460 ~ 2580 (mV),(OK/NG),12.00 ~ 20.00 (msec),9600 ~ 11400 (mA),(OK/NG),(OK/NG),5.60 ~ 10.40 (msec),10100 ~ 11900 (mA),(OK/NG),(OK/NG),700.00 ~ 1300.00 (msec),4465 ~ 4495 (mV),4330 ~ 4430 (mV),(OK/NG),89.60 ~ 166.40 (msec),2250 ~ 2350 (mV),2260 ~ 2380 (mV),(OK/NG),24.00 ~ 40.00 (msec),10600 ~ 12400 (mA),(OK/NG),(OK/NG),22.40 ~ 41.60 (msec),11100 ~ 12900 (mA),(OK/NG),(OK/NG),0.485 ~ 0.535 (kohm),0.485 ~ 0.535 (kohm),,,,
1,OK,,OK,4,3,OK,3900,OK,1.2300,300,4.1,1.1700,300,3.9,0.1200,300,0.4,2.7600,300,9.2,5.2800,300,17.6,OK,3.18,0,0.27,OK,1036.92,4445,4237,OK,128.31,2508,2511,OK,16.03,10199,OK,OK,8.57,10704,OK,OK,1113.99,4478,4372,OK,138.08,2298,2301,OK,34.63,10983,OK,OK,35.24,11537,OK,OK,0.495,0.509,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,01
2,OK,,OK,1,2,OK,3899,OK,1.2000,300,4.0,1.0500,300,3.5,0.0000,300,0.0,2.5200,300,8.4,4.7700,300,15.9,OK,3.14,0,0.31,OK,1082.13,4444,4235,OK,133.86,2501,2505,OK,16.55,10014,OK,OK,8.71,10682,OK,OK,1062.08,4477,4373,OK,131.58,2313,2316,OK,33.05,10899,OK,OK,33.60,11614,OK,OK,0.526,0.523,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,02
3,OK,,OK,3,3,OK,3902,OK,1.2000,300,4.0,1.1400,300,3.8,0.0900,300,0.3,2.7000,300,9.0,5.1300,300,17.1,OK,3.39,0,0.44,OK,1109.14,4443,4235,OK,137.31,2500,2504,OK,16.97,10010,OK,OK,8.85,10561,OK,OK,1051.39,4479,4376,OK,129.73,2301,2305,OK,32.64,11043,OK,OK,33.36,11696,OK,OK,0.501,0.496,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,03
4,NG,,OK,1,1,OK,3898,OK,1.3500,300,4.5,1.1400,300,3.8,0.1200,300,0.4,2.7900,300,9.3,5.4000,300,18.0,OK,3.22,0,0.30,OK,1003.62,4445,4236,OK,124.27,2500,2503,OK,15.29,10037,OK,OK,8.01,10699,OK,OK,1060.65,4479,4376,OK,130.82,2301,2304,OK,32.82,11111,OK,OK,33.22,11527,OK,NG,41104.517,0.521,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-17 19:52:56,04
5,NG,,OK,3,3,OK,3901,OK,1.4400,300,4.8,1.0500,300,3.5,0.0000,300,0.0,2.5800,300,8.6,5.0700,300,16.9,OK,3.17,0,0.23,OK,1064.88,4446,4237,OK,131.37,2509,2512,OK,16.26,10107,OK,OK,8.57,10704,OK,OK,1066.64,4482,4377,OK,131.66,2307,2311,OK,33.09,11169,OK,OK,33.64,11643,OK,NG,20616.260,0.507,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-17 19:52:56,05
6,OK,,OK,5,5,OK,3893,OK,1.4400,300,4.8,1.1100,300,3.7,0.0300,300,0.1,2.8200,300,9.4,5.4000,300,18.0,OK,3.30,0,0.31,OK,1031.30,4443,4236,OK,128.01,2506,2509,OK,15.81,10061,OK,OK,8.29,10577,OK,OK,1120.29,4478,4374,OK,138.47,2304,2307,OK,34.87,10981,OK,OK,35.38,11656,OK,OK,0.492,0.494,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,06
7,OK,,OK,2,3,OK,3899,OK,1.4400,300,4.8,1.0500,300,3.5,0.0000,300,0.0,2.5800,300,8.6,5.0700,300,16.9,OK,3.14,0,0.22,OK,1035.81,4444,4236,OK,127.84,2503,2507,OK,15.85,10041,OK,OK,8.29,10727,OK,OK,1061.29,4480,4375,OK,131.25,2303,2307,OK,33.05,11049,OK,OK,33.56,11484,OK,OK,0.504,0.520,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,07
8,NG,,OK,3,3,OK,3899,OK,1.3200,300,4.4,1.0800,300,3.6,0.0300,300,0.1,2.6100,300,8.7,5.0400,300,16.8,OK,3.14,0,0.29,OK,1014.78,4444,4235,OK,125.62,2499,2503,OK,15.67,10143,OK,OK,8.29,10707,OK,OK,1027.02,4480,4375,OK,127.26,2305,2308,OK,31.94,10950,OK,OK,32.34,11466,OK,NG,0.509,13672.211,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-17 19:52:56,08
9,NG,,OK,6,6,OK,3900,OK,1.3800,300,4.6,1.0800,300,3.6,0.0300,300,0.1,2.6100,300,8.7,5.1000,300,17.0,OK,3.06,0,0.22,OK,1104.11,4442,4236,OK,137.33,2490,2494,OK,16.87,9981,OK,OK,8.85,10661,OK,OK,1106.67,4480,4375,OK,136.40,2302,2305,OK,34.45,10955,OK,OK,35.10,11569,OK,NG,0.504,9177.460,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-17 19:52:56,09
10,OK,,OK,1,1,OK,3899,OK,1.2000,300,4.0,1.1700,300,3.9,0.1200,300,0.4,2.7000,300,9.0,5.1900,300,17.3,OK,3.21,0,0.24,OK,1067.18,4445,4236,OK,132.00,2504,2507,OK,16.26,9997,OK,OK,8.57,10564,OK,OK,1030.00,4480,4376,OK,127.60,2304,2308,OK,32.08,10989,OK,OK,32.48,11565,OK,OK,0.508,0.502,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,10
11,OK,,OK,5,5,OK,3892,OK,1.4100,300,4.7,1.0800,300,3.6,0.1200,300,0.4,2.5500,300,8.5,5.1600,300,17.2,OK,3.20,0,0.26,OK,1015.47,4445,4239,OK,125.38,2507,2510,OK,15.47,10075,OK,OK,8.15,10608,OK,OK,1014.05,4479,4374,OK,125.14,2310,2314,OK,31.62,11093,OK,OK,32.02,11639,OK,OK,0.494,0.500,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,11
12,OK,,OK,3,3,OK,3905,OK,1.3800,300,4.6,1.0500,300,3.5,0.0300,300,0.1,2.5200,300,8.4,4.9800,300,16.6,OK,3.07,0,0.20,OK,1065.39,4445,4238,OK,131.81,2498,2502,OK,16.40,10226,OK,OK,8.57,10824,OK,OK,1089.71,4483,4378,OK,133.98,2299,2303,OK,33.89,11151,OK,OK,34.54,11624,OK,OK,0.497,0.514,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,12
