Model Name : DAVINCI2C-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lot No : davinci2c 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Start Time : 2020-12-19 16-30-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Serial : PM16113017,PM16113018,PM16113009,PM16114002,TPSPMP-017,PM16114028,PM16113011,PM16113012,PM16113001,PM16113002,PM16112015,PM16112013,PM16114019,PM16114020,PM16912005,PM16912006,PM16114003,PM16114004,PM16114007,PM16113019,PM16113013,PM16114032,PM16912003,PM16114023,PM16113013,PM16113020,PM16114025,PM16114026,PM19612005,PM16114006,PM16113015,PM16113016,PM16113009,PM16114007,PM19612005,PM19612006,PM16114037,PM16114038,PM20706001,PM20706002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count,Total Result,Serial Number,Contact,,,Wake up,,Impedance,,,,,,,,,,,,,,,,Consumption Current,,,,OVP U1,,,,UVP U1,,,,ODCP U1,,,,OCCP U1,,,,OVP U2,,,,UVP U2,,,,ODCP U2,,,,OCCP U2,,,,Sensing Resistor,,,Step Result,Temperature,Test Time,Test Channel
,,,Judgment,S1 Voltage,S2 Voltage,Judgment,Pack Voltage,Judgment,B+ to P+ Voltage,B+ to P+ Current,B+ to P+ IR,B-1 to B-2 Voltage,B-1 to B-2 Current,B-1 to B-2 IR,B-2 to P-1 Voltage,B-2 to P-1 Current,B-2 to P-1 IR,P-1 to P-2 Voltage,P-1 to P-2 Current,P-1 to P-2 IR,Total Voltage,Total Current,Total IR,Judgment,Normal,Sleep,Power Down,Judgment,Protection Delay,Protection Voltage,Release Voltage,Judgment,Protection Delay,Protection Voltage,Release Voltage,Judgment,Protection Delay,Protection Current,Release,Judgment,Protection Delay,Protection Current,Release,Judgment,Protection Delay,Protection Voltage,Release Voltage,Judgment,Protection Delay,Protection Voltage,Release Voltage,Judgment,Protection Delay,Protection Current,Release,Judgment,Protection Delay,Protection Current,Release,Judgment,Res 1,Res 2,,,,
,,,(OK/NG),0 ~ 100 (mV),0 ~ 100 (mV),(OK/NG),3850 ~ 3950 (mV),(OK/NG),(mV),(mA),0.0 ~ 20.0 (mohm),(mV),(mA),0.0 ~ 20.0 (mohm),(mV),(mA),0.0 ~ 100.0 (mohm),(mV),(mA),0.0 ~ 100.0 (mohm),(mV),(mA),11.0 ~ 19.8 (mohm),(OK/NG),0.00 ~ 3.80 (uA),0.00 ~ 0.00 (uA),0.00 ~ 1.00 (uA),(OK/NG),700.00 ~ 1300.00 (msec),4430 ~ 4460 (mV),4195 ~ 4295 (mV),(OK/NG),89.60 ~ 166.40 (msec),2450 ~ 2550 (mV),2460 ~ 2580 (mV),(OK/NG),12.00 ~ 20.00 (msec),9600 ~ 11400 (mA),(OK/NG),(OK/NG),5.60 ~ 10.40 (msec),10100 ~ 11900 (mA),(OK/NG),(OK/NG),700.00 ~ 1300.00 (msec),4465 ~ 4495 (mV),4330 ~ 4430 (mV),(OK/NG),89.60 ~ 166.40 (msec),2250 ~ 2350 (mV),2260 ~ 2380 (mV),(OK/NG),24.00 ~ 40.00 (msec),10600 ~ 12400 (mA),(OK/NG),(OK/NG),22.40 ~ 41.60 (msec),11100 ~ 12900 (mA),(OK/NG),(OK/NG),0.485 ~ 0.535 (kohm),0.485 ~ 0.535 (kohm),,,,
1,OK,,OK,3,4,OK,3902,OK,1.35,300,4.5,1.17,300,3.9,0.12,300,0.4,2.88,300,9.6,5.52,300,18.4,OK,3.2,0,0.27,OK,1035.29,4444,4237,OK,128.12,2508,2511,OK,15.85,10041,OK,OK,8.29,10717,OK,OK,1111.24,4477,4372,OK,137.7,2297,2301,OK,34.6,10974,OK,OK,35.14,11538,OK,OK,0.493,0.509,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,1
2,OK,,OK,1,1,OK,3900,OK,1.2,300,4,1.05,300,3.5,0,300,0,2.55,300,8.5,4.8,300,16,OK,3.16,0,0.32,OK,1080.2,4444,4235,OK,133.65,2501,2505,OK,16.55,10014,OK,OK,8.71,10682,OK,OK,1060.3,4477,4373,OK,131.34,2313,2316,OK,33.05,10889,OK,OK,33.6,11604,OK,OK,0.526,0.523,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,2
3,OK,,OK,4,4,OK,3902,OK,1.41,300,4.7,1.14,300,3.8,0.09,300,0.3,2.88,300,9.6,5.52,300,18.4,OK,3.43,0,0.47,OK,1107.67,4443,4235,OK,137.08,2500,2504,OK,16.97,10010,OK,OK,8.85,10561,OK,OK,1049.15,4479,4376,OK,129.43,2302,2305,OK,32.64,11033,OK,OK,33.32,11696,OK,OK,0.495,0.496,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,3
4,NG,,OK,1,1,OK,3899,OK,1.56,300,5.2,1.14,300,3.8,0.12,300,0.4,2.91,300,9.7,5.73,300,19.1,OK,3.26,0,0.33,OK,1002.96,4444,4236,OK,124.2,2500,2502,OK,15.29,10027,OK,OK,8.01,10689,OK,OK,1058.23,4479,4376,OK,130.64,2301,2304,OK,32.92,11120,OK,OK,33.46,11525,OK,NG,41104.517,0.521,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0,12/19/2020 16:31,4
