Model Name : DAVINCI2C-2
Lot No : davinci2c 2
Test Start Time : 2020-12-19 16-31-36
Channel Serial : PM16113017,PM16113018,PM16113009,PM16114002,TPSPMP-017,PM16114028,PM16113011,PM16113012,PM16113001,PM16113002,PM16112015,PM16112013,PM16114019,PM16114020,PM16912005,PM16912006,PM16114003,PM16114004,PM16114007,PM16113019,PM16113013,PM16114032,PM16912003,PM16114023,PM16113013,PM16113020,PM16114025,PM16114026,PM19612005,PM16114006,PM16113015,PM16113016,PM16113009,PM16114007,PM19612005,PM19612006,PM16114037,PM16114038,PM20706001,PM20706002


,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count,Total Result,Serial Number,Contact,,,Wake up,,Impedance,,,,,,,,,,,,,,,,Consumption Current,,,,OVP U1,,,,UVP U1,,,,ODCP U1,,,,OCCP U1,,,,OVP U2,,,,UVP U2,,,,ODCP U2,,,,OCCP U2,,,,Sensing Resistor,,,Step Result,Temperature,Test Time,Test Channel
,,,Judgment,S1 Voltage,S2 Voltage,Judgment,Pack Voltage,Judgment,B+ to P+ Voltage,B+ to P+ Current,B+ to P+ IR,B-1 to B-2 Voltage,B-1 to B-2 Current,B-1 to B-2 IR,B-2 to P-1 Voltage,B-2 to P-1 Current,B-2 to P-1 IR,P-1 to P-2 Voltage,P-1 to P-2 Current,P-1 to P-2 IR,Total Voltage,Total Current,Total IR,Judgment,Normal,Sleep,Power Down,Judgment,Protection Delay,Protection Voltage,Release Voltage,Judgment,Protection Delay,Protection Voltage,Release Voltage,Judgment,Protection Delay,Protection Current,Release,Judgment,Protection Delay,Protection Current,Release,Judgment,Protection Delay,Protection Voltage,Release Voltage,Judgment,Protection Delay,Protection Voltage,Release Voltage,Judgment,Protection Delay,Protection Current,Release,Judgment,Protection Delay,Protection Current,Release,Judgment,Res 1,Res 2,,,,
,,,(OK/NG),0 ~ 100 (mV),0 ~ 100 (mV),(OK/NG),3850 ~ 3950 (mV),(OK/NG),(mV),(mA),0.0 ~ 20.0 (mohm),(mV),(mA),0.0 ~ 20.0 (mohm),(mV),(mA),0.0 ~ 100.0 (mohm),(mV),(mA),0.0 ~ 100.0 (mohm),(mV),(mA),11.0 ~ 19.8 (mohm),(OK/NG),0.00 ~ 3.80 (uA),0.00 ~ 0.00 (uA),0.00 ~ 1.00 (uA),(OK/NG),700.00 ~ 1300.00 (msec),4430 ~ 4460 (mV),4195 ~ 4295 (mV),(OK/NG),89.60 ~ 166.40 (msec),2450 ~ 2550 (mV),2460 ~ 2580 (mV),(OK/NG),12.00 ~ 20.00 (msec),9600 ~ 11400 (mA),(OK/NG),(OK/NG),5.60 ~ 10.40 (msec),10100 ~ 11900 (mA),(OK/NG),(OK/NG),700.00 ~ 1300.00 (msec),4465 ~ 4495 (mV),4330 ~ 4430 (mV),(OK/NG),89.60 ~ 166.40 (msec),2250 ~ 2350 (mV),2260 ~ 2380 (mV),(OK/NG),24.00 ~ 40.00 (msec),10600 ~ 12400 (mA),(OK/NG),(OK/NG),22.40 ~ 41.60 (msec),11100 ~ 12900 (mA),(OK/NG),(OK/NG),0.485 ~ 0.535 (kohm),0.485 ~ 0.535 (kohm),,,,
1,OK,,OK,3,3,OK,3901,OK,1.3500,300,4.5,1.1700,300,3.9,0.1200,300,0.4,2.8500,300,9.5,5.4900,300,18.3,OK,3.21,0,0.27,OK,1035.01,4444,4237,OK,128.04,2508,2511,OK,15.85,10041,OK,OK,8.43,10705,OK,OK,1111.66,4477,4372,OK,137.75,2297,2301,OK,34.60,10964,OK,OK,35.10,11539,OK,OK,0.493,0.509,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-19 16:31:56,01
2,OK,,OK,1,1,OK,3900,OK,1.2000,300,4.0,1.0800,300,3.6,0.0000,300,0.0,2.5200,300,8.4,4.8000,300,16.0,OK,3.17,0,0.31,OK,1079.72,4445,4235,OK,133.59,2502,2505,OK,16.55,10024,OK,OK,8.57,10694,OK,OK,1059.28,4478,4373,OK,131.20,2313,2316,OK,33.05,10879,OK,OK,33.60,11604,OK,OK,0.526,0.523,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-19 16:31:56,02
3,OK,,OK,4,3,OK,3902,OK,1.4100,300,4.7,1.1700,300,3.9,0.0900,300,0.3,2.8500,300,9.5,5.5200,300,18.4,OK,3.35,0,0.40,OK,1106.74,4443,4235,OK,137.00,2500,2504,OK,16.97,10010,OK,OK,8.85,10561,OK,OK,1048.45,4480,4376,OK,129.36,2302,2305,OK,32.64,11033,OK,OK,33.32,11686,OK,OK,0.496,0.497,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-19 16:31:56,03
4,NG,,OK,1,1,OK,3899,OK,1.5300,300,5.1,1.1700,300,3.9,0.1200,300,0.4,2.9100,300,9.7,5.7300,300,19.1,OK,3.20,0,0.28,OK,1002.65,4444,4236,OK,124.10,2499,2502,OK,15.29,10017,OK,OK,8.01,10699,OK,OK,1058.30,4480,4376,OK,130.62,2301,2304,OK,32.92,11120,OK,OK,33.28,11527,OK,NG,54807.697,0.522,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-19 16:31:56,04
5,NG,,OK,3,3,OK,3900,OK,1.5600,300,5.2,1.0800,300,3.6,0.0000,300,0.0,2.7000,300,9.0,5.3400,300,17.8,OK,3.21,0,0.23,OK,1062.91,4446,4238,OK,131.12,2509,2513,OK,16.26,10097,OK,OK,8.57,10704,OK,OK,1064.66,4482,4378,OK,131.42,2307,2311,OK,33.19,11168,OK,OK,33.60,11644,OK,NG,20616.260,0.506,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-19 16:31:56,05
6,OK,,OK,5,5,OK,3893,OK,1.4400,300,4.8,1.1100,300,3.7,0.0300,300,0.1,2.7300,300,9.1,5.3100,300,17.7,OK,3.32,0,0.31,OK,1030.81,4443,4236,OK,127.97,2505,2509,OK,15.71,10062,OK,OK,8.29,10587,OK,OK,1117.67,4479,4374,OK,138.25,2304,2307,OK,34.73,10982,OK,OK,35.28,11657,OK,OK,0.492,0.493,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-19 16:31:56,06
7,OK,,OK,2,3,OK,3899,OK,1.4700,300,4.9,1.0800,300,3.6,0.0000,300,0.0,2.6400,300,8.8,5.1900,300,17.3,OK,3.17,0,0.22,OK,1034.23,4443,4236,OK,127.60,2504,2508,OK,15.85,10031,OK,OK,8.43,10715,OK,OK,1059.97,4481,4376,OK,131.01,2303,2307,OK,33.05,11039,OK,OK,33.42,11495,OK,OK,0.504,0.520,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-19 16:31:56,07
8,NG,,OK,3,3,OK,3899,OK,1.5600,300,5.2,1.1100,300,3.7,0.0300,300,0.1,2.7000,300,9.0,5.4000,300,18.0,OK,3.17,0,0.29,OK,1012.27,4444,4235,OK,125.30,2499,2503,OK,15.57,10134,OK,OK,8.15,10698,OK,OK,1024.41,4480,4375,OK,126.94,2305,2308,OK,31.94,10950,OK,OK,32.34,11456,OK,NG,0.509,13672.211,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-19 16:31:56,08
9,NG,,OK,6,6,NG,787,NG,0.0000,300,0.0,0.0000,300,0.0,0.0000,300,0.0,0.0000,300,0.0,0.0000,300,0.0,OK,0.00,0,0.01,NG,0.00,0,0,NG,0.00,0,0,NG,0.00,0,NG,NG,0.00,0,NG,NG,0.00,0,0,NG,0.00,0,0,NG,0.00,0,NG,NG,0.00,0,NG,NG,0.020,0.024,OOOXXXOOOOOOOOOOOOOOXOOOOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0.0,2020-12-19 16:31:56,09
10,OK,,OK,1,1,OK,3900,OK,1.3200,300,4.4,1.1700,300,3.9,0.1200,300,0.4,2.7600,300,9.2,5.3700,300,17.9,OK,3.25,0,0.25,OK,1064.02,4445,4236,OK,131.65,2503,2507,OK,16.26,9987,OK,OK,8.57,10594,OK,OK,1027.79,4482,4376,OK,127.37,2304,2308,OK,32.04,10959,OK,OK,32.48,11575,OK,OK,0.508,0.502,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-19 16:31:56,10
11,OK,,OK,5,6,OK,3892,OK,1.5000,300,5.0,1.0800,300,3.6,0.1200,300,0.4,2.6100,300,8.7,5.3100,300,17.7,OK,3.24,0,0.26,OK,1011.27,4446,4239,OK,124.91,2507,2510,OK,15.42,10065,OK,OK,8.15,10608,OK,OK,1012.61,4479,4374,OK,124.90,2311,2314,OK,31.52,11094,OK,OK,31.92,11640,OK,OK,0.494,0.501,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-19 16:31:56,11
12,OK,,OK,3,3,OK,3906,OK,1.4700,300,4.9,1.0800,300,3.6,0.0300,300,0.1,2.5500,300,8.5,5.1300,300,17.1,OK,3.10,0,0.20,OK,1062.41,4445,4238,OK,131.49,2498,2502,OK,16.40,10216,OK,OK,8.57,10834,OK,OK,1086.87,4482,4378,OK,133.61,2299,2303,OK,33.89,11151,OK,OK,34.44,11625,OK,OK,0.496,0.502,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-19 16:31:56,12
